gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000029464,996.5607611741073,0.1948042051894386,0.07295247980215136,2.6702890116655618,0.007578598397243004,0.01877696645149561
ENSMUSG00000029465,8873.674384131267,-0.144035228298767,0.041264271841633796,-3.4905554338036793,4.820176038554751e-4,0.0015259071746610427
ENSMUSG00000029466,1135.6068858253423,-0.19771271710578187,0.06714925024441082,-2.9443771358003885,0.003236054041178309,0.008694896325376221
ENSMUSG00000029467,4881.276581287024,0.07923867620192705,0.0447555898915194,1.770475518119397,0.07664795921725194,0.1436638809396377
ENSMUSG00000029469,42.846462419366446,3.2830856152663106,0.38514836831967714,8.52421011048219,1.538561226074664e-17,1.6525394505461095e-16
ENSMUSG00000029468,1006.3417984620634,3.7523358438331282,0.09769825978924704,38.40739693754629,0,0
ENSMUSG00000059352,0.5018371089626881,-0.9984912966606144,2.59845870129353,-0.38426290791674267,0.7007835967247098,NA
ENSMUSG00000029470,291.42024564894507,1.097613423120837,0.11737852850200736,9.35105795862883,8.67753418389866e-21,1.0767703724875081e-19
ENSMUSG00000029471,534.2264185721222,0.3229107572844306,0.09227381463708242,3.4994842096260452,4.661592137764014e-4,0.0014801441820544983
ENSMUSG00000029472,6012.143354299841,-0.4484327217098691,0.04557085128572312,-9.84034111845434,7.545456336745996e-23,1.0194888783903118e-21
ENSMUSG00000029474,785.0703464036154,-0.27945187830320234,0.07839628996567785,-3.56460590705947,3.644032935165256e-4,0.0011745084058859385
ENSMUSG00000029475,2845.0762919047106,0.8124219799936014,0.05281746939688946,15.38169074115934,2.172009569902373e-53,7.060211542166354e-52
ENSMUSG00000056735,542.9877320521429,0.6581401846236442,0.09107569757162506,7.226298586470448,4.963358453725521e-13,4.026109436491728e-12
ENSMUSG00000049686,1240.36794346199,0.5676239957911619,0.07735462994894533,7.33794468625599,2.1689876719253903e-13,1.800099250571567e-12
ENSMUSG00000029477,0.8315491181735575,0.5180233945084567,2.1739086419748794,0.23829124394015944,0.8116552121041951,NA
ENSMUSG00000080836,11.8182833690528,-0.8272121213201822,0.571935357065046,-1.446338491058009,0.14808228474346466,0.2502392574074201
ENSMUSG00000054434,105.98252853804614,0.284260582779996,0.2013579111011803,1.4117179763409344,0.15803301814877385,0.26365285398823335
